universitas;peringkat;noSK;tahunSK;wilayah;tanggalKadaluarsa;statusKadaluarsa
Universitas Klabat;B;1521/SK/BAN-PT/Akred/PT/VIII/2016;2016;9;2021-08-11;Masih berlaku
Universitas Komputer Indonesia;B;470/SK/BAN-PT/Akred/PT/V/2015;2015;4;2020-05-23;Masih berlaku
Universitas Kristen Artha Wacana;B;3144/SK/BAN-PT/Akred/PT/XII/2016;2016;1;2021-12-27;Masih berlaku
Universitas Kristen Duta Wacana Yogyakarta;B;423/SK/BAN-PT/Akred/PT/V/2015;2015;5;2020-05-15;Masih berlaku
Universitas Kristen Indonesia;B;3004/SK/BAN-PT/Akred/PT/XII/2016;2016;3;2021-12-20;Masih berlaku
Universitas Kristen Indonesia Maluku;B;1036/SK/BAN-PT/Akred/PT/VI/2016;2016;12;2021-06-17;Masih berlaku
Universitas Kristen Indonesia Paulus;B;1024/SK/BAN-PT/Akred/PT/VI/2016;2016;9;2021-06-17;Masih berlaku
Universitas Kristen Indonesia Toraja;B;678/SK/BAN-PT/Akred/PT/VII/2015;2015;9;2020-07-04;Masih berlaku
Universitas Kristen Maranatha;B;220/SK/BAN-PT/Akred/PT/IV/2015;2015;4;2020-04-10;Masih berlaku
Universitas Kristen Palangka Raya;C;0067/SK/BAN-PT/Akred/PT/II/2016;2016;11;2021-02-12;Masih berlaku
Universitas Kristen Petra;A;021/SK/BAN-PT/Akred/PT/I/2014;2014;7;2019-01-16;Masih berlaku
Universitas Kristen Satya Wacana;B;081/SK/BAN-PT/Ak-IV/PT/II/2013;2013;6;2018-02-21;Masih berlaku
Universitas Kutai Kartanegara Tenggarong;C;491/SK/BAN-PT/Akred/PT/V/2015;2015;11;2020-05-23;Masih berlaku
Universitas Lakidende Unahaa;C;1216/SK/BAN-PT/Akred/PT/XI/2015;2015;9;2020-12-19;Masih berlaku
Universitas Lambung Mangkurat;B;2998/SK/BAN-PT/Akred/PT/XII/2016;2016;11;2021-12-20;Masih berlaku
Universitas Lampung;A;2992/SK/BAN-PT/Akred/PT/XII/2016;2016;2;2021-12-20;Masih berlaku
Universitas Lancang Kuning;B;371/SK/BAN-PT/Akred/PT/V/2015;2015;10;2020-05-09;Masih berlaku
Universitas Lumajang;C;755/SK/BAN-PT/Akred/PT/VII/2015;2015;7;2020-07-10;Masih berlaku
Universitas Ma Chung;B;3166/SK/BAN-PT/Akred/PT/XII/2016;2016;1;2021-12-27;Masih berlaku
Universitas Maarif Hasyim Latif;C;858/SK/BAN-PT/Akred/PT/VIII/2015;2015;7;2020-08-21;Masih berlaku
Universitas Mahasaraswati Denpasar;B;316/SK/BAN-PT/Akred/PT/VIII/2014;2014;8;2019-08-30;Masih berlaku
Universitas Mahendradatta;C;250/SK/BAN-PT/Akred/PT/VII/2014;2014;8;2019-07-19;Masih berlaku
Universitas Malahayati;C;1051/SK/BAN-PT/Akred/PT/X/2015;2015;2;2020-10-03;Masih berlaku
Universitas Mataram;B;017/SK/BAN-PT/Akred/PT/I/2014;2014;8;2019-01-16;Masih berlaku
Universitas Medan Area;B;767/SK/BAN-PT/Akred/PT/VII/2015;2015;1;2020-07-10;Masih berlaku
Universitas Mercu Buana;A;3001/SK/BAN-PT/Akred/PT/XII/2016;2016;3;2021-12-20;Masih berlaku
Universitas Mercu Buana Yogyakarta;B;3002/SK/BAN-PT/Akred/PT/XII/2016;2016;5;2021-12-20;Masih berlaku
Universitas Merdeka Madiun;C;315/SK/BAN-PT/Akred/PT/VIII/2014;2014;7;2019-08-30;Masih berlaku
Universitas Merdeka Malang;B;648/SK/BAN-PT/Akred/PT/VII/2015;2015;7;2020-07-04;Masih berlaku
Universitas Merdeka Pasuruan;C;190/SK/BAN-PT/Akred/PT/IV/2015;2015;7;2020-04-10;Masih berlaku
Universitas Merdeka Ponorogo;C;904/SK/BAN-PT/Akred/PT/VIII/2015;2015;7;2020-08-21;Masih berlaku
Universitas Mohammad Husni Thamrin;B;3118/SK/BAN-PT/Akred/PT/XII/2016;2016;3;2021-12-27;Masih berlaku
Universitas Mpu Tantular;B;241/SK/BAN-PT/Akred/PT/VII/2014;2014;3;2019-07-19;Masih berlaku
Universitas Muara Bungo;C;884/SK/BAN-PT/Akred/PT/VIII/2015;2015;10;2020-08-21;Masih berlaku
Universitas Muhammadiyah Aceh;C;174/SK/BAN-PT/Akred/PT/IV/2015;2015;13;2020-04-10;Masih berlaku
Universitas Muhammadiyah Bengkulu;B;178/SK/BAN-PT/Akred/PT/IV/2015;2015;2;2020-04-10;Masih berlaku
Universitas Muhammadiyah Buton;C;158/SK/BAN-PT/Akred/PT/IV/2015;2015;9;2020-04-10;Masih berlaku
Universitas Muhammadiyah Cirebon;C;319/SK/BAN-PT/Akred/PT/VIII/2014;2014;4;2019-08-30;Masih berlaku
Universitas Muhammadiyah Gorontalo;C;151/SK/BAN-PT/Akred/PT/IV/2015;2015;9;2020-04-10;Masih berlaku
Universitas Muhammadiyah Gresik;B;1418/SK/BAN-PT/Akred/PT/VIII/2016;2016;7;2021-08-04;Masih berlaku
Universitas Muhammadiyah Jakarta;B;384/SK/BAN-PT/Akred/PT/V/2015;2015;3;2020-05-09;Masih berlaku
Universitas Muhammadiyah Jember;B;356/SK/BAN-PT/Akred/PT/V/2015;2015;7;2020-05-09;Masih berlaku
Universitas Muhammadiyah Kendari;C;304/SK/BAN-PT/Akred/PT/VIII/2014;2014;9;2019-08-30;Masih berlaku
Universitas Muhammadiyah Luwuk Banggai;C;388/SK/BAN-PT/Akred/PT/V/2015;2015;9;2020-05-09;Masih berlaku
Universitas Muhammadiyah Magelang;B;270/SK/BAN-PT/Akred/PT/IV/2015;2015;6;2020-04-18;Masih berlaku
Universitas Muhammadiyah Makassar;B;1162/SK/BAN-PT/Akred/PT/XI/2015;2015;9;2020-11-20;Masih berlaku
Universitas Muhammadiyah Malang;A;074/SK/BAN-PT/Ak-IV/PT/II/2013;2013;7;2018-02-21;Masih berlaku
Universitas Muhammadiyah Maluku Utara;C;258/SK/BAN-PT/Akred/PT/IV/2015;2015;12;2020-04-18;Masih berlaku
Universitas Muhammadiyah Mataram;B;2145/SK/BAN-PT/Akred/PT/IX/2016;2016;8;2021-09-29;Masih berlaku
Universitas Muhammadiyah Metro;B;0282/SK/BAN-PT/Ak_SURV/PT/IV/2016;2015;2;2020-12-19;Masih berlaku
Universitas Muhammadiyah Palangkaraya;C;577/SK/BAN-PT/Akred/PT/VI/2015;2015;11;2020-06-22;Masih berlaku
Universitas Muhammadiyah Palembang;B;027/SK/BAN-PT/Akred/PT/I/2014;2014;2;2019-01-16;Masih berlaku
Universitas Muhammadiyah Pare-Pare;B;490/SK/BAN-PT/Akred/PT/V/2015;2015;9;2020-05-23;Masih berlaku
Universitas Muhammadiyah Ponorogo;B;169/SK/BAN-PT/Akred/PT/IV/2015;2015;7;2020-04-10;Masih berlaku
Universitas Muhammadiyah Pontianak;B;3137/SK/BAN-PT/Akred/PT/XII/2016;2016;11;2021-12-27;Masih berlaku
Universitas Muhammadiyah Prof. DR. Hamka;A;3128/SK/BAN-PT/Akred/PT/XII/2016;2016;3;2021-12-27;Masih berlaku
Universitas Muhammadiyah Purwokerto;B;189/SK/BAN-PT/Akred/PT/IV/2015;2015;6;2020-04-10;Masih berlaku
Universitas Muhammadiyah Purworejo;B;0363/SK/BAN-PT/Akred/PT/I/2017;2017;6;2022-01-19;Masih berlaku
Universitas Muhammadiyah Riau;B;0369/SK/BAN-PT/Akred/PT/I/2017;2017;10;2022-01-19;Masih berlaku
Universitas Muhammadiyah Semarang;B;2146/SK/BAN-PT/Akred/PT/IX/2016;2016;6;2021-09-29;Masih berlaku
Universitas Muhammadiyah Sidoarjo;B;229/SK/BAN-PT/Akred/PT/IV/2015;2015;7;2020-04-10;Masih berlaku
Universitas Muhammadiyah Sorong;C;1052/SK/BAN-PT/Akred/PT/X/2015;2015;14;2020-10-03;Masih berlaku
Universitas Muhammadiyah Sukabumi;C;320/SK/BAN-PT/Akred/PT/VIII/2014;2014;4;2019-08-30;Masih berlaku
Universitas Muhammadiyah Sumatera Barat;C;762/SK/BAN-PT/Akred/PT/VII/2015;2015;10;2020-07-10;Masih berlaku
Universitas Muhammadiyah Sumatera Utara;B;471/SK/BAN-PT/Akred/PT/V/2015;2015;1;2020-05-23;Masih berlaku
Universitas Muhammadiyah Surabaya;B;599/SK/BAN-PT/Ak-SURV/PT/VI/2015;2015;7;2020-04-10;Masih berlaku
Universitas Muhammadiyah Surakarta;B;076/SK/BAN-PT/Ak-IV/PT/II/2013;2013;6;2018-02-21;Masih berlaku
Universitas Muhammadiyah Tangerang;B;195/SK/BAN-PT/Akred/PT/IV/2015;2015;4;2020-04-10;Masih berlaku
Universitas Muhammadiyah Tapanuli Selatan;B;1218/SK/BAN-PT/Akred/PT/XI/2015;2015;1;2020-12-19;Masih berlaku
Universitas Muhammadiyah Yogyakarta;A;061/SK/BAN-PT/Ak-IV/PT/II/2013;2013;5;2018-02-21;Masih berlaku
Universitas Mulawarman;B;239/SK/BAN-PT/Akred/PT/VII/2014;2014;11;2019-07-19;Masih berlaku
Universitas Multimedia Nusantara;A;3000/SK/BAN-PT/Akred/PT/XII/2016;2016;4;2021-12-20;Masih berlaku
Universitas Muria Kudus;B;821/SK/BAN-PT/Akred/PT/VIII/2015;2015;6;2020-08-07;Masih berlaku
Universitas Musamus Merauke;B;341/SK/BAN-PT/Akred/PT/VIII/2014;2014;14;2019-08-30;Masih berlaku
Universitas Musi Rawas;C;606/SK/BAN-PT/Akred/PT/VI/2015;2015;2;2020-06-27;Masih berlaku
Universitas Muslim Indonesia;B;0364/SK/BAN-PT/Akred/PT/I/2017;2017;9;2022-01-19;Masih berlaku
Universitas Narotama;B;2997/SK/BAN-PT/Akred/PT/XII/2016;2016;7;2021-12-20;Masih berlaku
Universitas Nasional;B;080/SK/BAN-PT/Ak-IV/PT/II/2013;2013;3;2018-02-21;Masih berlaku
Universitas Negeri Gorontalo;B;740/SK/BAN-PT/Akred/PT/VII/2015;2015;9;2020-07-10;Masih berlaku
Universitas Negeri Jakarta;A;763/SK/BAN-PT/Akred/PT/VII/2015;2015;3;2020-07-10;Masih berlaku
Universitas Negeri Makassar;B;014/BAN-PT/Ak-III/Inst/II/2012;2012;9;2017-02-23;Sudah Kedaluarsa
Universitas Negeri Malang;A;240/SK/BAN-PT/Akred/PT/VII/2014;2014;7;2019-07-19;Masih berlaku
Universitas Negeri Manado;B;457/SK/BAN-PT/Akred/PT/V/2015;2015;9;2020-05-23;Masih berlaku
Universitas Negeri Medan;A;2988/SK/BAN-PT/Akred/PT/XII/2016;2016;1;2021-12-20;Masih berlaku
Universitas Negeri Padang;A;2989/SK/BAN-PT/Akred/PT/XII/2016;2016;10;2021-12-20;Masih berlaku
Universitas Negeri Semarang;A;3174/SK/BAN-PT/Akred/PT/XII/2016;2016;6;2021-12-27;Masih berlaku
Universitas Negeri Surabaya;B;077/SK/BAN-PT/Ak-IV/PT/II/2013;2013;7;2018-02-21;Masih berlaku
Universitas Negeri Yogyakarta;A;3127/SK/BAN-PT/Akred/PT/XII/2016;2016;5;2021-12-27;Masih berlaku
Universitas Nusa Cendana;B;306/SK/BAN-PT/Akred/PT/VIII/2014;2014;8;2019-08-30;Masih berlaku
Universitas Nusa Nipa;C;664/SK/BAN-PT/Akred/PT/VII/2015;2015;8;2020-07-04;Masih berlaku
Universitas Nusantara PGRI Kediri;C;1042/SK/BAN-PT/Akred/PT/VI/2016;2016;7;2021-06-17;Masih berlaku
Universitas Ottow Geissler;C;493/SK/BAN-PT/Akred/PT/V/2015;2015;14;2020-05-23;Masih berlaku
Universitas Padjadjaran;A;013/SK/BAN-PT/Akred/PT/I/2014;2014;4;2019-01-16;Masih berlaku
Universitas Pakuan;B;2675/SK/BAN-PT/Akred/PT/XI/2016;2016;4;2021-11-24;Masih berlaku
Universitas Palangka Raya;B;1032/SK/BAN-PT/Akred/PT/VI/2016;2016;11;2021-06-17;Masih berlaku
Universitas Pamulang;C;1055/SK/BAN-PT/Akred/PT/X/2015;2015;4;2020-10-03;Masih berlaku
Universitas Panca Bhakti;B;1054/SK/BAN-PT/Akred/PT/X/2015;2015;11;2020-10-03;Masih berlaku
Universitas Panca Marga;C;1416/SK/BAN-PT/Akred/PT/VIII/2016;2016;7;2021-08-04;Masih berlaku
Universitas Pancasakti;B;184/SK/BAN-PT/Akred/PT/IV/2015;2015;6;2020-04-10;Masih berlaku
Universitas Pancasila;B;2983/SK/BAN-PT/Akred/PT/XII/2016;2016;3;2021-12-20;Masih berlaku
Universitas Panji Sakti Singaraja;C;634/SK/BAN-PT/Akred/PT/VI/2015;2015;8;2020-06-27;Masih berlaku
Universitas Pasir Pengaraian Pekanbaru;C;1291/SK/BAN-PT/Akred/PT/XII/2015;2015;10;2020-12-29;Masih berlaku
Universitas Pasundan;B;1040/SK/BAN-PT/Akred/PT/VI/2016;2016;4;2021-06-17;Masih berlaku
Universitas Pattimura;B;3152/SK/BAN-PT/Akred/PT/XII/2016;2016;12;2021-12-27;Masih berlaku
Universitas Pawyatan Daha;C;681/SK/BAN-PT/Akred/PT/VII/2015;2015;7;2020-07-04;Masih berlaku
Universitas Pekalongan;B;0033/SK/BAN-PT/Akred/PT/I/2017;2017;6;2022-01-10;Masih berlaku
Universitas Pelita Harapan;B;056/SK/BAN-PT/Ak-IV/PT/II/2013;2013;4;2018-02-21;Masih berlaku
Universitas Pelita Harapan;C;187/SK/BAN-PT/Akred/PT/IV/2015;2015;7;2020-04-10;Masih berlaku
Universitas Pembangunan Indonesia;C;380/SK/BAN-PT/Akred/PT/V/2015;2015;9;2020-05-09;Masih berlaku
Universitas Pembangunan Nasional Veteran Jakarta;B;026/SK/BAN-PT/Akred/PT/I/2014;2014;3;2019-01-16;Masih berlaku
Universitas Pembangunan Nasional Veteran Jawa Timur;A;2982/SK/BAN-PT/Akred/PT/XII/2016;2016;7;2021-12-20;Masih berlaku
Universitas Pembangunan Nasional Veteran Yogyakarta;B;023/SK/BAN-PT/Akred/PT/I/2014;2014;5;2019-01-16;Masih berlaku
Universitas Pembangunan Panca Budi;B;212/SK/BAN-PT/Akred/PT/IV/2015;2015;1;2020-04-10;Masih berlaku
Universitas Pendidikan Ganesha;B;0366/SK/BAN-PT/Akred/PT/I/2017;2017;8;2022-01-19;Masih berlaku
Universitas Pendidikan Indonesia;A;2990/SK/BAN-PT/Akred/PT/XII/2016;2016;4;2021-12-20;Masih berlaku
Universitas Pendidikan Nasional;B;246/SK/BAN-PT/Akred/PT/VII/2014;2014;8;2019-07-19;Masih berlaku
Universitas Pertahanan;A;3126/SK/BAN-PT/Akred/PT/XII/2016;2016;4;2021-12-27;Masih berlaku
Universitas Pesantren Tinggi Darul ' Ulum Jombang;B;213/SK/BAN-PT/Akred/PT/IV/2015;2015;7;2020-04-10;Masih berlaku
Universitas PGRI Adi Buana;B;223/SK/BAN-PT/Akred/PT/VII/2014;2014;7;2019-07-19;Masih berlaku
Universitas PGRI Banyuwangi;C;0043/SK/BAN-PT/Akred/PT/I/2016;2016;7;2021-01-29;Masih berlaku
Universitas PGRI Palembang;B;207/SK/BAN-PT/Akred/PT/IV/2015;2015;2;2020-04-10;Masih berlaku
Universitas PGRI Ronggolawe;C;1931/SK/BAN-PT/Akred/PT/IX/2016;2016;7;2021-09-08;Masih berlaku
Universitas PGRI Semarang;B;3110/SK/BAN-PT/Akred/PT/XII/2016;2016;1;2021-12-27;Masih berlaku
Universitas PGRI Yogyakarta;B;306/SK/BAN-PT/Akred/PT/IV/2015;2015;5;2020-04-18;Masih berlaku
Universitas Potensi Utama;C;347/SK/BAN-PT/Akred/PT/V/2015;2015;1;2020-05-09;Masih berlaku
Universitas Presiden;B;615/SK/BAN-PT/Akred/PT/VI/2015;2015;4;2020-06-27;Masih berlaku
Universitas Prof. Dr. Moestopo (Beragama);B;222/SK/BAN-PT/Akred/PT/IV/2015;2015;3;2020-04-10;Masih berlaku
Universitas Proklamasi 45 Yogyakarta;B;0567/SK/BAN-PT/Akred/PT/V/2016;2016;5;2021-05-20;Masih berlaku
Universitas Putera Batam;C;1039/SK/BAN-PT/Akred/PT/X/2015;2015;10;2020-10-03;Masih berlaku
Universitas Ratu Samban;C;690/SK/BAN-PT/Akred/PT/VII/2015;2015;2;2020-07-04;Masih berlaku
Universitas Riau;B;233/SK/BAN-PT/Akred/PT/VII/2014;2014;10;2019-07-19;Masih berlaku
Universitas Sahid;B;217/SK/BAN-PT/Akred/PT/IV/2015;2015;3;2020-04-10;Masih berlaku
Universitas Sains Al Qur`an;C;219/SK/BAN-PT/Akred/PT/IV/2015;2015;6;2020-04-10;Masih berlaku
Universitas Sam Ratulangi;B;022/SK/BAN-PT/Akred/PT/I/2014;2014;9;2019-01-16;Masih berlaku
Universitas Samawa;C;1242/SK/BAN-PT/Akred/PT/XI/2015;2015;8;2020-12-19;Masih berlaku
Universitas Sanata Dharma;A;2993/SK/BAN-PT/Akred/PT/XII/2016;2016;5;2021-12-20;Masih berlaku
Universitas Sang Bumi Ruwa Jurai;C;879/SK/BAN-PT/Akred/PT/VIII/2015;2015;2;2020-08-21;Masih berlaku
Universitas Sarjanawiyata Tamansiswa;B;034/SK/BAN-PT/Akred/PT/I/2014;2014;5;2019-01-16;Masih berlaku
Universitas Satya Negara;C;013/BAN-PT/Ak-III/Inst/II/2012;2012;3;2017-02-23;Sudah Kedaluarsa
Universitas Sawerigading Makassar;C;1247/SK/BAN-PT/Akred/PT/XI/2015;2015;9;2020-12-19;Masih berlaku
Universitas Sebelas Maret;A;016/SK/BAN-PT/Akred/PT/I/2014;2014;6;2019-01-16;Masih berlaku
Universitas Semarang;B;485/SK/BAN-PT/Akred/PT/V/2015;2015;6;2020-05-23;Masih berlaku
Universitas Serang Raya;B;422/SK/BAN-PT/Akred/PT/V/2015;2015;4;2020-05-15;Masih berlaku
Universitas Siliwangi;C;343/SK/BAN-PT/Akred/PT/VIII/2014;2014;4;2019-08-30;Masih berlaku
Universitas Simalungun;B;1779/SK/BAN-PT/Akred/PT/IX/2016;2016;1;2021-09-02;Masih berlaku
Universitas Sintuwu Maroso;C;325/SK/BAN-PT/Akred/PT/VIII/2014;2014;9;2019-08-30;Masih berlaku
Universitas Slamet Riyadi;B;476/SK/BAN-PT/Akred/PT/V/2015;2015;6;2020-05-23;Masih berlaku
Universitas Soerjo;C;191/SK/BAN-PT/Akred/PT/IV/2015;2015;7;2020-04-10;Masih berlaku
Universitas Sriwijaya;A;2996/SK/BAN-PT/Akred/PT/XII/2016;2016;2;2021-12-20;Masih berlaku
Universitas STIKUBANK;B;1415/SK/BAN-PT/Akred/PT/VIII/2016;2016;6;2021-08-04;Masih berlaku
Universitas Sulawesi Tenggara;C;381/SK/BAN-PT/Akred/PT/V/2015;2015;9;2020-05-09;Masih berlaku
Universitas Sultan Ageng Tirtayasa;B;670/SK/BAN-PT/Akred/PT/VII/2015;2015;4;2020-07-04;Masih berlaku
Universitas Sumatera Utara;B;083/SK/BAN-PT/Ak-IV/PT/II/2013;2013;1;2018-02-21;Masih berlaku
Universitas Sunan Giri Surabaya;C;1029/SK/BAN-PT/Akred/PT/VI/2016;2016;7;2021-06-17;Masih berlaku
Universitas Surabaya;A;1026/SK/BAN-PT/Akred/PT/X/2015;2015;7;2020-10-03;Masih berlaku
Universitas Suryakancana;C;445/SK/BAN-PT/Akred/PT/V/2015;2015;4;2020-05-15;Masih berlaku
Universitas Swadaya Gunung Djati;B;2668/SK/BAN-PT/Akred/PT/XI/2016;2016;4;2021-11-24;Masih berlaku
Universitas Syiah Kuala;A;736/SK/BAN-PT/Akred/PT/VII/2015;2015;13;2020-07-10;Masih berlaku
Universitas Tadulako;B;091/SK/BAN-PT/Ak-SURV/PT/III/2015;2015;9;2019-07-19;Masih berlaku
Universitas Tanjungpura;B;969/SK/BAN-PT/Akred/PT/VIII/2015;2015;11;2020-08-29;Masih berlaku
Universitas Teknologi Sulawesi Utara;C;460/SK/BAN-PT/Akred/PT/V/2015;2015;9;2020-05-23;Masih berlaku
Universitas Telkom;A;3125/SK/BAN-PT/Akred/PT/XII/2016;2016;4;2021-12-27;Masih berlaku
Universitas Tompotika Luwuk Banggai;C;572/SK/BAN-PT/Akred/PT/VI/2015;2015;9;2020-06-22;Masih berlaku
Universitas Tribhuwana Tungga Dewi;C;1277/SK/BAN-PT/Akred/PT/XII/2015;2015;7;2020-12-29;Masih berlaku
Universitas Tridharma;C;440/SK/BAN-PT/Akred/PT/V/2015;2015;11;2020-05-15;Masih berlaku
Universitas Tridinanti;C;866/SK/BAN-PT/Akred/PT/VIII/2015;2015;2;2020-08-21;Masih berlaku
Universitas Trisakti;B;376/SK/BAN-PT/Akred/PT/V/2015;2015;3;2020-05-09;Masih berlaku
Universitas Trunajaya;C;1040/SK/BAN-PT/Akred/PT/X/2015;2015;11;2020-10-03;Masih berlaku
Universitas Trunojoyo;B;338/SK/BAN-PT/Akred/PT/VIII/2014;2014;7;2019-08-30;Masih berlaku
Universitas Udayana;A;2999/SK/BAN-PT/Akred/PT/XII/2016;2016;8;2021-12-20;Masih berlaku
Universitas Veteran Bangun Nusantara;B;605/SK/BAN-PT/Akred/PT/VI/2015;2015;6;2020-06-27;Masih berlaku
Universitas Victory Sorong;C;1025/SK/BAN-PT/Akred/PT/X/2015;2015;14;2020-10-03;Masih berlaku
Universitas Wahid Hasyim;B;310/SK/BAN-PT/Akred/PT/VIII/2014;2014;6;2019-08-30;Masih berlaku
Universitas Warmadewa;B;446/SK/BAN-PT/Akred/PT/V/2015;2015;8;2020-05-15;Masih berlaku
Universitas Widya Dharma Klaten;B;3153/SK/BAN-PT/Akred/PT/XII/2016;2016;6;2021-12-27;Masih berlaku
Universitas Widya Gama;B;2604/SK/BAN-PT/Akred/PT/IX/2016;2016;7;2021-09-29;Masih berlaku
Universitas Widya Kartika;C;707/SK/BAN-PT/Akred/PT/VII/2015;2015;7;2020-07-04;Masih berlaku
Universitas Widyagama Mahakam Samarinda;C;667/SK/BAN-PT/Akred/PT/VII/2015;2015;11;2020-07-04;Masih berlaku
Universitas Widyatama;B;463/SK/BAN-PT/Akred/PT/V/2015;2015;4;2020-05-23;Masih berlaku
Universitas Wijaya Kusuma Purwokerto;B;434/SK/BAN-PT/Akred/PT/V/2015;2015;6;2020-05-15;Masih berlaku
Universitas Wijaya Kusuma Surabaya;B;308/SK/BAN-PT/Akred/PT/VIII/2014;2014;7;2019-08-30;Masih berlaku
Universitas Wiraraja;C;651/SK/BAN-PT/Akred/PT/VII/2015;2015;7;2020-07-04;Masih berlaku
Universitas WR Supratman;C;1290/SK/BAN-PT/Akred/PT/XII/2015;2015;7;2020-12-29;Masih berlaku
Universitas Yapis Papua;B;1028/SK/BAN-PT/Akred/PT/X/2015;2015;14;2020-10-03;Masih berlaku
Universitas Yos Sudarso;C;2649/SK/BAN-PT/Akred/PT/XI/2016;2016;7;2021-11-24;Masih berlaku
