universitas;peringkat;noSK;tahunSK;wilayah;tanggalKadaluarsa;statusKadaluarsa
Institut Agama Islam Al-Qolam;C;1034/SK/BAN-PT/Akred/PT/X/2015;2015;7;2020-10-03;Masih berlaku
Institut Agama Islam Az-Zaytun Indonesia Indramayu;C;3097/SK/BAN-PT/Akred/PT/XII/2016;2016;4;2021-12-27;Masih berlaku
Institut Agama Islam Daar Al Uluum Asahan;C;0139/SK/BAN-PT/Akred/PT/III/2016;2015;1;2020-08-29;Masih berlaku
Institut Agama Islam Darul Da'wah Wal Irsyad Polewali Mandar;C;726/SK/BAN-PT/Akred/PT/VII/2015;2015;9;2020-07-10;Masih berlaku
Institut Agama Islam Hamzanwadi Pancor;C;555/SK/BAN-PT/Akred/PT/VI/2015;2015;8;2020-06-22;Masih berlaku
Institut Agama Islam Ma'arif NU;C;1095/SK/BAN-PT/Akred/PT/X/2015;2015;2;2020-10-24;Masih berlaku
Institut Agama Islam Negeri Ambon;B;394/SK/BAN-PT/Akred/PT/V/2015;2015;12;2020-05-09;Masih berlaku
Institut Agama Islam Negeri Antasari Banjarmasin;B;633/SK/BAN-PT/Akred/PT/VI/2015;2015;11;2020-06-27;Masih berlaku
Institut Agama Islam Negeri Ar-Raniry;B;019/SK/BAN-PT/Akred/PT/I/2014;2014;13;2019-01-16;Masih berlaku
Institut Agama Islam Negeri Bengkulu;B;625/SK/BAN-PT/Akred/PT/VI/2015;2015;2;2020-06-27;Masih berlaku
Institut Agama Islam Negeri Bukittinggi;B;947/SK/BAN-PT/Akred/PT/VIII/2015;2015;10;2020-08-29;Masih berlaku
Institut Agama Islam Negeri Imam Bonjol;B;699/SK/BAN-PT/Akred/PT/VII/2015;2015;10;2020-07-04;Masih berlaku
Institut Agama Islam Negeri Jember;B;0386/SK/BAN-PT/Ak-SURV/PT/V/2016;2015;7;2020-04-10;Masih berlaku
Institut Agama Islam Negeri Mataram;B;825/SK/BAN-PT/Akred/PT/VIII/2015;2015;8;2020-08-07;Masih berlaku
Institut Agama Islam Negeri Padangsidempuan;B;3113/SK/BAN-PT/Akred/PT/XII/2016;2016;10;2021-12-27;Masih berlaku
Institut Agama Islam Negeri Ponorogo;B;2619/SK/BAN-PT/Ak-SURV/PT/XI/2016;2016;7;2021-07-14;Masih berlaku
Institut Agama Islam Negeri Raden Intan;B;2667/SK/BAN-PT/Akred/PT/XI/2016;2016;2;2021-11-24;Masih berlaku
Institut Agama Islam Negeri Samarinda;B;1448/SK/BAN-PT/Ak-SURV/PT/VIII/2016;2015;11;2020-12-29;Masih berlaku
Institut Agama Islam Negeri Sultan Amai Gorontalo;B;214/SK/BAN-PT/Akred/PT/IV/2015;2015;9;2020-04-10;Masih berlaku
Institut Agama Islam Negeri Sultan Maulana Hasanuddin Banten;B;2673/SK/BAN-PT/Akred/PT/XI/2016;2016;4;2021-11-24;Masih berlaku
Institut Agama Islam Negeri Sulthan Thaha Saifuddin;B;890/SK/BAN-PT/Akred/PT/VIII/2015;2015;10;2020-08-21;Masih berlaku
Institut Agama Islam Negeri Sumatera Utara;C;071/SK/BAN-PT/Ak-IV/PT/II/2013;2013;1;2018-02-21;Masih berlaku
Institut Agama Islam Negeri Surakarta;B;663/SK/BAN-PT/Akred/PT/VII/2015;2015;6;2020-07-04;Masih berlaku
Institut Agama Islam Negeri Syekh Nurjati Cirebon;B;637/SK/BAN-PT/Akred/PT/VI/2015;2015;4;2020-06-27;Masih berlaku
Institut Agama Islam Negeri Ternate;C;747/SK/BAN-PT/Akred/PT/VII/2015;2015;12;2020-07-10;Masih berlaku
Institut Agama Islam Negeri Tulungagung;B;369/SK/BAN-PT/Akred/PT/V/2015;2015;7;2020-05-09;Masih berlaku
Institut Agama Islam Riyadlatul Mujahidin Ngabar;C;932/SK/BAN-PT/Akred/PT/VIII/2015;2015;7;2020-08-29;Masih berlaku
Institut Agama Islam Sunan Giri Ponorogo;C;324/SK/BAN-PT/Akred/PT/VIII/2014;2014;7;2019-08-30;Masih berlaku
Institut Agama Islam Tribakti;C;0049/SK/BAN-PT/Akred/PT/I/2016;2016;7;2021-01-29;Masih berlaku
Institut Dirosat Islamiyah Al-Amien Prenduan Sumenep Madura Indonesia;C;1144/SK/BAN-PT/Akred/PT/VII/2016;2016;7;2021-07-14;Masih berlaku
Institut Ilmu KeIslaman Annuqayah Guluk-Guluk Sumenep;C;946/SK/BAN-PT/Akred/PT/VIII/2015;2015;7;2020-08-29;Masih berlaku
Institut Ilmu Keislaman Zainul Hasan Genggong Kraksan Probolinggo;C;753/SK/BAN-PT/Akred/PT/VII/2015;2015;7;2020-07-10;Masih berlaku
Institut Ilmu Sosial dan Ilmu Politik Yapis Biak;C;406/SK/BAN-PT/Akred/PT/V/2015;2015;14;2020-05-15;Masih berlaku
Institut Ilmu Sosial dan Manajemen STIAMI Jakarta;B;3140/SK/BAN-PT/Akred/PT/XII/2016;2016;3;2021-12-27;Masih berlaku
Institut Informatika Dan Bisnis Darmajaya;C;354/SK/BAN-PT/Akred/PT/V/2015;2015;2;2020-05-09;Masih berlaku
Institut Informatika Indonesia Surabaya;C;286/SK/BAN-PT/Akred/PT/IV/2015;2015;7;2020-04-18;Masih berlaku
Institut Keguruan dan Ilmu Pendidikan Budi Utomo;B;1025/SK/BAN-PT/Akred/PT/VI/2016;2016;6;2021-06-17;Masih berlaku
Institut Keguruan dan Ilmu Pendidikan Mataram;C;560/SK/BAN-PT/Akred/PT/VI/2015;2015;8;2020-06-22;Masih berlaku
Institut Keguruan dan Ilmu Pendidikan PGRI Bali;B;0036/SK/BAN-PT/Akred/PT/I/2016;2016;8;2021-01-29;Masih berlaku
Institut Keguruan dan Ilmu Pendidikan PGRI Bojonegoro;C;289/SK/BAN-PT/Akred/PT/IV/2015;2015;7;2020-04-18;Masih berlaku
Institut Keguruan dan Ilmu Pendidikan PGRI Madiun;B;411/SK/BAN-PT/Akred/PT/X/2014;2014;7;2019-10-24;Masih berlaku
Institut Keguruan dan Ilmu Pendidikan PGRI Pontianak;B;0114/SK/BAN-PT/Ak-SURV/PT/III/2016;2014;11;2019-09-06;Masih berlaku
Institut Keguruan dan Ilmu Pendidikan Purnama;C;1041/SK/BAN-PT/Akred/PT/VI/2016;2016;3;2021-06-17;Masih berlaku
Institut Keguruan dan Ilmu Pendidikan Saraswati, Tabanan;B;1138/SK/BAN-PT/Akred/PT/XI/2015;2015;8;2020-11-07;Masih berlaku
Institut Keguruan dan Ilmu Pendidikan Widya Darma;C;360/SK/BAN-PT/Akred/PT/V/2015;2015;7;2020-05-09;Masih berlaku
Institut Keguruan Ilmu Pendidikan Veteran Jawa Tengah;C;365/SK/BAN-PT/Akred/PT/V/2015;2015;6;2020-05-09;Masih berlaku
Institut Kesehatan Indonesia;C;2147/SK/BAN-PT/Akred/PT/IX/2016;2016;3;2021-09-29;Masih berlaku
Institut Keuangan Perbankan dan Informatika Asia Perbanas;B;0097/SK/BAN-PT/Akred/III/2016;2016;3;2021-03-05;Masih berlaku
Institut Kristen Borneo;C;1036/SK/BAN-PT/Akred/PT/X/2015;2015;11;2020-10-03;Masih berlaku
Institut Pembina Rohani Islam Jakarta;C;0362/SK/BAN-PT/Akred/PT/I/2017;2017;3;2022-01-19;Masih berlaku
